协议,功能域,优先级,在协议表,请求参数,跟踪响应session,直接调用处,注册回调处,处理方式
springcard_load_count,新春贺卡,P2,True,,True,SpringCardModel.req_load_count,,实现本地状态/规则及兼容响应
springcard_load_task_item,新春贺卡,P2,False,,,,SpringCardModel.initModel,实现本地状态/规则及兼容响应
springcard_put_tags,新春贺卡,P2,True,"pos, id",True,SpringCardModel.req_put_tags,,实现本地状态/规则及兼容响应
springcard_send,新春贺卡,P2,True,,True,SpringCardModel.req_send,,实现本地状态/规则及兼容响应
springcard_share_tags,新春贺卡,P2,True,tags_id,True,SpringCardModel.req_share_tags,,需单机替代策略/离线停用；保留已有权益与记录
story_feedback_gift,朋友故事,P2,True,id,False,MailItemView.acceptTouchEvents,,实现本地状态/规则及兼容响应
story_load,朋友故事,P2,True,,True,,StoryModel.initModel,实现本地状态/规则及兼容响应
story_read_new_story,朋友故事,P2,True,,False,StoryModel.readNewStory,,实现本地状态/规则及兼容响应
story_send_gift,朋友故事,P2,True,"id, gift",False,StoryModel.sendGift,,实现本地状态/规则及兼容响应
task_client_pro,任务与里程碑,P1,True,param,False,GuideTaskModel.req_client_pro,,实现本地状态/规则及兼容响应
task_get_list_reward,任务与里程碑,P1,True,id,True,GuideTaskModel.req_list_reward,,实现本地状态/规则及兼容响应
task_get_reward,任务与里程碑,P1,True,id,True,GuideTaskModel.request_reward,,实现本地状态/规则及兼容响应
task_load,任务与里程碑,P1,True,,True,GuideTaskViewControl.open,GuideTaskModel.initModel,实现本地状态/规则及兼容响应
task_load_list,任务与里程碑,P1,True,,True,,GuideTaskModel.initModel,实现本地状态/规则及兼容响应
travel_album_to_gift,礼品盒/旅行手账,P2,True,picture_id,True,TravelModel.putPicturesToGiftBox,,实现本地状态/规则及兼容响应
travel_bag_to_gift,礼品盒/旅行手账,P2,True,item_id,True,ItemModel.moveItemToGiftBox,,实现本地状态/规则及兼容响应
travel_gift_delete_album,礼品盒/旅行手账,P2,True,id,True,GiftBoxModel.delete_album,,实现本地状态/规则及兼容响应
travel_gift_to_album,礼品盒/旅行手账,P2,True,picture_id,True,GiftBoxModel.gift_to_album,,实现本地状态/规则及兼容响应
travel_gift_to_bag,礼品盒/旅行手账,P2,True,item_id,True,GiftBoxModel.gift_to_bag,,实现本地状态/规则及兼容响应
travel_load_gift,礼品盒/旅行手账,P2,True,,True,GiftBoxModel.requestData,GiftBoxModel.initModel,实现本地状态/规则及兼容响应
travel_load_note,礼品盒/旅行手账,P2,True,,True,TravelNoteModel.loadNote,TravelNoteModel.initModel,实现本地状态/规则及兼容响应
travel_read_note,礼品盒/旅行手账,P2,True,id,False,TravelNoteModel.sendReadNote,,实现本地状态/规则及兼容响应
tutorial_step_ask_award,新手初始化,P0,True,,False,MainOutView.checkGuide,,实现本地状态/规则及兼容响应
tutorial_step_ask_award_q,新手初始化,P0,True,,True,MainOutView.checkGuide,,实现本地状态/规则及兼容响应
tutorial_step_open_door,新手初始化,P0,True,,False,MainOutView.checkGuide,,实现本地状态/规则及兼容响应
tutorial_step_open_door_q,新手初始化,P0,True,,True,MainOutView.checkGuide,,实现本地状态/规则及兼容响应
visit_load,来访与接待,P2,True,,True,,VisitorModel.initModel,实现本地状态/规则及兼容响应
visit_open,来访与接待,P2,True,,False,VisitorModel.open,,实现本地状态/规则及兼容响应
visit_set_carpet,来访与接待,P2,True,id,False,VisitorModel.visit_load,,实现本地状态/规则及兼容响应
visit_set_expire_time,来访与接待,P2,True,time,False,MainOutView.updateVisitor,,实现本地状态/规则及兼容响应
weather_load,天气与时段,P1,False,,,,WeatherModel.initModel,实现本地状态/规则及兼容响应
wishingpool_load,许愿池,P2,True,,True,,WishingPoolModel.initModel,实现本地状态/规则及兼容响应
wishingpool_wish,许愿池,P2,True,,True,WishingPoolModel.req_wish,,实现本地状态/规则及兼容响应
